"strain","mean_AUC_tubes","mean_AUC_96well","t_stat","df","p_raw","p_BH"
"EPI300_ara",15.9161666666667,9.63283333333333,74.9728222732623,3.01021370121888,5.05087496324487e-06,2.02034998529795e-05
"EPI300_pCC1_ATF1",16.7043333333333,9.45016666666667,37.8567438675408,3.86668283498519,4.09216286953992e-06,2.02034998529795e-05
"EPI300_pCC1_ara",16.2506666666667,9.07433333333333,29.4745016275556,3.04854618799549,7.60689213512774e-05,0.000152137842702555
"EPI300_pCC1_ATF1_iAAl",15.749,9.657,18.6874535919904,3.8427048691576,6.47433872961837e-05,0.000152137842702555
"EPI300_pCC1_ATF1_ara_iAAl",15.254,8.395,31.712487372453,2.14084632175796,0.000670919395623583,0.00107347103299773
"EPI300",17.7143333333333,10.916,20.3021322014153,2.10050647170997,0.00190969092053736,0.00233852358277019
"EPI300_pCC1_ATF1_ara",16.1298333333333,8.3225,15.4124829577302,2.35124288299961,0.00204620813492392,0.00233852358277019
"EPI300_pCC1",17.1308333333333,10.1775,13.009556288489,2.01050934299195,0.00573961795876089,0.00573961795876089
