"strain","hour","avg_t","sd_t","avg_w","sd_w","unpaired_t","unpaired_df","unpaired_p","paired_t","paired_df","paired_p","unpaired_p_BH","paired_p_BH"
"EPI300_ara",2,0.196,0.00360555127546399,0.171083333333333,0.00251661147842357,9.81515585626427,3.57492029755578,0.00103528023172215,10.6785714285715,2,0.00865578180611031,0.00214195910011479,0.0115410424081471
"EPI300_ara",3,0.341,0.00953939201416943,0.232416666666667,0.00321455025366431,18.6830438270839,2.448430255663,0.00105769204294496,21.5261659098246,2,0.00215111459378387,0.00215123805344737,0.00478025465285305
"EPI300_ara",4,0.453666666666667,0.0205993527406405,0.287083333333333,0.00378593889720019,13.776054687419,2.13495991686278,0.00401443088310691,16.4852313797916,2,0.00365949246583872,0.0055371460456647,0.00609915410973121
"EPI300_ara",5,0.580666666666667,0.0162583311976763,0.328083333333333,0.00472581562625261,25.8390605366875,2.33556173796614,0.000635095532542042,37.7462161020785,2,0.000701126248345635,0.0015877388313551,0.00259721977197162
"EPI300_ara",6,0.657666666666667,0.00950438495292218,0.364416666666667,0.00321455025366432,50.6239238296211,2.45165452541598,9.17279421821142e-05,77.4576684839967,2,0.000166633607522219,0.000407679743031619,0.00183053667551895
"EPI300_ara",7,0.733,0.00346410161513776,0.39175,0.00458257569495584,102.890746337162,3.72307692307692,1.43860490836402e-07,341.25,2,8.58715072451131e-06,8.6316294501841e-06,0.000515229043470679
"EPI300_ara",8,0.81,0.0113578166916005,0.415416666666667,0.00757187779440037,50.0672903640763,3.48453608247424,4.18453012578903e-06,85.2081894948772,2,0.000137704334731767,3.86264319303603e-05,0.00183053667551895
"EPI300_ara",9,0.864666666666667,0.00873689494805411,0.43675,0.00529150262212915,72.5618401569645,3.29324167605088,2.16185300522291e-06,58.9024896712668,2,0.000288101144642011,2.59422360626749e-05,0.00239734041282446
"EPI300_ara",10,0.924666666666667,0.00152752523165195,0.456083333333333,0.00251661147842359,275.690256970502,3.29756097560976,2.61396977826677e-08,351.4375,2,8.09652243937582e-06,3.13676373392013e-06,0.000515229043470679
"EPI300_ara",11,0.970333333333333,0.00808290376865477,0.473416666666667,0.00550757054728611,87.9961901792498,3.52780692549843,5.05309231131173e-07,77.188109116677,2,0.000167799195255903,1.21274215471482e-05,0.00183053667551895
"EPI300_ara",12,1.00466666666667,0.0141891977691952,0.49075,0.00264575131106459,61.6699999999999,2.13890493542903,0.000162832096039542,55.5969269540684,2,0.000323361071277696,0.000574701515433679,0.00239734041282446
