"strain","n_timepoints","n_sig_raw_p05","n_sig_BH_p05","mean_diff_tubes_minus_96w"
"EPI300_pCC1_ara",15,15,15,0.336761111133333
"EPI300_pCC1_ATF1_ara",15,15,15,0.360761111133333
"EPI300_pCC1_ATF1_iAAl",15,15,15,0.2878722222
"EPI300_ara",15,14,14,0.306183333333333
"EPI300_pCC1",15,14,14,0.3352055556
"EPI300_pCC1_ATF1_ara_iAAl",15,14,14,0.315605555466667
"EPI300",15,13,13,0.336583333333333
"EPI300_pCC1_ATF1",15,13,13,0.339627777666667
