"strain","hour","avg_t","sd_t","avg_w","sd_w","t_stat","df","p_raw","p_adj_strain","p_adj_overall","significant_raw","significant_adj"
"EPI300_pCC1",7,0.784,0.059,0.405416667,0.010016653,10.9572039410033,2.11519684259385,0.00673526125996667,0.0112254354332778,0.00878512338256522,TRUE,TRUE
"EPI300_pCC1",8,0.85,0.044,0.441416667,0.0090185,15.7562346864653,2.16774803267203,0.00282246646524874,0.00940258548167333,0.00434225610038268,TRUE,TRUE
"EPI300_pCC1",9,0.924,0.055,0.46175,0.005291503,14.4901921567334,2.03702162676586,0.00438787322478089,0.00940258548167333,0.00598346348833757,TRUE,TRUE
"EPI300_pCC1",10,0.971,0.055,0.483083333,0.004932883,15.3039602963194,2.03217422843239,0.00396832068919963,0.00940258548167333,0.00555658405460474,TRUE,TRUE
"EPI300_pCC1",11,1.016,0.047,0.501083333,0.003785939,18.9145183710954,2.025953337573,0.00262311097868543,0.00940258548167333,0.00414175417687173,TRUE,TRUE
"EPI300_pCC1",12,1.056,0.061,0.518083333,0.005859465,15.2037731938708,2.03690449592855,0.00398221857246673,0.00940258548167333,0.00555658405460474,TRUE,TRUE
"EPI300_pCC1",13,1.098,0.057,0.538083333,0.002516611,16.997548545544,2.00779723836231,0.00338519820401432,0.00940258548167333,0.00483599743430617,TRUE,TRUE
"EPI300_pCC1",14,1.124,0.052,0.555083333,0.00450925,18.8790076366365,2.03007719800805,0.00260842995612639,0.00940258548167333,0.00414175417687173,TRUE,TRUE
"EPI300_pCC1_ara",0,0.041,0.007,0.02475,0.003464102,3.60370361714182,2.92416521158131,0.0382283763545734,0.0386338844141456,0.0409589746656144,TRUE,TRUE
"EPI300_pCC1_ara",1,0.112,0.02,0.060416667,0.005507571,4.3069272028974,2.30159897905684,0.0386338844141456,0.0386338844141456,0.0410271338911281,TRUE,TRUE
"EPI300_pCC1_ara",2,0.207,0.013,0.14475,0.003464102,8.01420952449146,2.28259891253804,0.0102112766710378,0.0117822423127359,0.0126325072219024,TRUE,TRUE
"EPI300_pCC1_ara",3,0.344,0.018,0.198083333,0.004618802,13.6002308123448,2.2622375680821,0.00323661741356596,0.00404577176695744,0.00478869194517974,TRUE,TRUE
"EPI300_pCC1_ara",4,0.439,0.024,0.248083333,0.008082904,13.057576036952,2.44794077356835,0.00252745255705064,0.00344652621415997,0.00414175417687173,TRUE,TRUE
"EPI300_pCC1_ara",5,0.552,0.014,0.28975,0.008660254,27.592527198357,3.33511953900622,4.70771502701773e-05,0.000176539313513165,0.000256784456019149,TRUE,TRUE
"EPI300_pCC1_ara",6,0.651,0.023,0.321416667,0.006658328,23.8408795297413,2.33288568054688,0.000771001542569324,0.00115650231385399,0.0017447254714837,TRUE,TRUE
"EPI300_pCC1_ara",7,0.727,0.016,0.35075,0.006244998,37.9425161764568,2.59555303726016,0.000123586886558621,0.000370760659675862,0.000494347546234483,TRUE,TRUE
"EPI300_pCC1_ara",8,0.814,0.031,0.390416667,0.010214369,22.4779516421424,2.42921079844505,0.000704887736689009,0.00115650231385399,0.00165855938044473,TRUE,TRUE
"EPI300_pCC1_ara",9,0.877,0.023,0.419416667,0.009291573,31.9503489197901,2.63586793201148,0.00017343735296435,0.000432753748579062,0.000612131833991822,TRUE,TRUE
"EPI300_pCC1_ara",10,0.927,0.022,0.439083333,0.007505553,36.3559421725055,2.45934201405109,0.000201951749336895,0.000432753748579062,0.000654978646498039,TRUE,TRUE
"EPI300_pCC1_ara",11,0.992,0.032,0.456083333,0.008020806,28.1369440251041,2.25031406496575,0.000649893650537304,0.00115650231385399,0.00159157628703013,TRUE,TRUE
"EPI300_pCC1_ara",12,1.022,0.022,0.472083333,0.012220202,37.8478606110443,3.12688394827623,2.87561362875317e-05,0.000143780681437658,0.00017253681772519,TRUE,TRUE
"EPI300_pCC1_ara",13,1.064,0.023,0.487416667,0.016196707,35.5011961446533,3.59208875993106,1.05049875450354e-05,7.87874065877652e-05,7.87874065877652e-05,TRUE,TRUE
"EPI300_pCC1_ara",14,1.085,0.018,0.500083333,0.012503333,46.2256747983197,3.56555470952565,4.39361728205641e-06,6.59042592308462e-05,3.76595767033407e-05,TRUE,TRUE
"EPI300_pCC1_ATF1",0,0.04,0.009,0.024416667,0.004041452,2.73583674404894,2.77506920282054,0.0780398712278673,0.0780398712278673,0.0797920295674861,FALSE,FALSE
"EPI300_pCC1_ATF1",1,0.105,0.024,0.055083333,0.002886751,3.57664533172518,2.05785824612484,0.0671647763460167,0.0719622603707322,0.0700849840132348,FALSE,FALSE
"EPI300_pCC1_ATF1",2,0.19,0.017,0.134083333,0.003785939,5.56085837742022,2.19789845775343,0.0248903069525455,0.0287195849452449,0.0281777059840138,TRUE,TRUE
"EPI300_pCC1_ATF1",3,0.321,0.029,0.194416667,0.006658328,7.36857904058649,2.21027575002088,0.0135167581026944,0.016895947628368,0.0160595145774587,TRUE,TRUE
"EPI300_pCC1_ATF1",4,0.428,0.022,0.254416667,0.007571878,12.9221942171576,2.46727239815607,0.00250404983364906,0.00341461340952144,0.00414175417687173,TRUE,TRUE
"EPI300_pCC1_ATF1",5,0.561,0.016,0.303083333,0.007505553,25.277311030945,2.8395545449607,0.000197694064879112,0.000370676371648334,0.000654978646498039,TRUE,TRUE
"EPI300_pCC1_ATF1",6,0.652,0.023,0.339416667,0.010016653,21.5817211069408,2.73232026686346,0.000391924081114052,0.000653206801856753,0.00106888385758378,TRUE,TRUE
"EPI300_pCC1_ATF1",7,0.74,0.027,0.366083333,0.008082904,22.9791550966241,2.35562563383455,0.000795600880541758,0.00119340132081264,0.0017447254714837,TRUE,TRUE
"EPI300_pCC1_ATF1",8,0.822,0.01,0.39175,0.009643651,53.6417387482519,3.99474503370584,7.34098146021491e-07,3.9612029236151e-06,1.40842770617426e-05,TRUE,TRUE
"EPI300_pCC1_ATF1",9,0.897,0.017,0.411416667,0.014571662,37.5630724823218,3.90859279588429,3.78762810704309e-06,1.13628843211293e-05,3.76595767033407e-05,TRUE,TRUE
"EPI300_pCC1_ATF1",10,0.947,0.014,0.432416667,0.008326664,54.71676797247,3.25759881595009,6.09990568120306e-06,1.52497642030076e-05,4.87992454496244e-05,TRUE,TRUE
"EPI300_pCC1_ATF1",11,0.996,0.019,0.45375,0.010816654,42.9582160657372,3.17316856046267,1.69928087904279e-05,3.6413161693774e-05,0.000113285391936186,TRUE,TRUE
"EPI300_pCC1_ATF1",12,1.037,0.012,0.473416667,0.014153916,52.6052673430261,3.89572946117383,1.05632077963069e-06,3.9612029236151e-06,1.40842770617426e-05,TRUE,TRUE
"EPI300_pCC1_ATF1",13,1.082,0.007,0.492416667,0.010785793,79.419220092222,3.43094626121391,1.00603568080358e-06,3.9612029236151e-06,1.40842770617426e-05,TRUE,TRUE
"EPI300_pCC1_ATF1",14,1.117,0.009,0.514416667,0.010785793,74.298067791466,3.87574234297092,2.93952921021328e-07,3.9612029236151e-06,1.04588870640702e-05,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",0,0.052,0.009,0.02375,0.002645751,5.21600197903067,2.34311641068125,0.0246533023350998,0.0246533023350998,0.0281752026686855,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",1,0.135,0.003,0.054416667,0.001527525,41.459784081178,2.97172210743666,3.34436102505537e-05,0.000501654153758306,0.000191106344288879,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",2,0.224,0.019,0.13075,0.001,8.48897359236873,2.01108024738724,0.0133695520424292,0.0143245200454598,0.016043462450915,TRUE,TRUE
"EPI300_pCC1_ATF1_ara",3,0.334,0.02,0.183416667,0.002516611,12.9388687881732,2.06331743593586,0.00524699991824088,0.0065587498978011,0.00699599989098784,TRUE,TRUE
