,,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,,,,,
,,0.02275,0.05675,0.14075,0.19275,0.23875,0.27975,0.31375,0.34375,0.37875,0.41175,0.43875,0.45675,0.47475,0.49575,0.50875,0.52975,0.54475,0.56675,0.59875,0.59475,0.69175
,,0.02275,0.05775,0.14675,0.20075,0.25275,0.29475,0.32575,0.35575,0.39475,0.41675,0.43175,0.44775,0.45875,0.46875,0.48575,0.49475,0.50775,0.52275,0.53175,0.55075,0.62575
,EPI300_pCC1_ATF1,0.02875,0.05675,0.13575,0.19875,0.25775,0.30275,0.33875,0.36475,0.38775,0.40975,0.42975,0.45075,0.46475,0.48475,0.50675,0.52875,0.54975,0.56975,0.59875,0.61575,0.72275
,,0.02075,0.05175,0.12975,0.18675,0.24575,0.29575,0.32975,0.35875,0.38475,0.39775,0.42575,0.44475,0.46575,0.48775,0.50975,0.53175,0.55075,0.57075,0.59475,0.61875,0.72175
,,0.02375,0.05675,0.13675,0.19775,0.25975,0.31075,0.34975,0.37475,0.40275,0.42675,0.44175,0.46575,0.48975,0.50475,0.52675,0.55275,0.57675,0.59175,0.62375,0.64375,0.73475
,EPI300_pCC1_ATF1_ara,0.02675,0.05475,0.13175,0.18075,0.22875,0.27475,0.29575,0.32275,0.33575,0.36175,0.37275,0.39275,0.40475,0.42175,0.43875,0.45075,0.46875,0.48175,0.50575,0.51375,0.58775
,,0.02275,0.05275,0.12975,0.18575,0.23275,0.27175,0.30175,0.32775,0.35075,0.37175,0.39075,0.41075,0.43675,0.43975,0.53175,0.47675,0.50075,0.51775,0.53575,0.55175,0.63675
,,0.02175,0.05575,0.13075,0.18375,0.24075,0.28475,0.31775,0.33975,0.35875,0.38175,0.39675,0.41475,0.42975,0.44575,0.46175,0.47275,0.48575,0.50175,0.52175,0.53775,0.58275
,EPI300_pCC1_ATF1_iAAl,0.02875,0.06175,0.13775,0.20375,0.26875,0.31875,0.35375,0.37275,0.39775,0.42075,0.43675,0.45675,0.47975,0.49775,0.52175,0.54075,0.56275,0.57775,0.60275,0.62275,0.71675
,,0.02275,0.05375,0.12975,0.18875,0.25675,0.30975,0.34375,0.36775,0.38075,0.40575,0.41875,0.44875,0.46875,0.48975,0.51275,0.53075,0.55675,0.57675,0.59675,0.61575,0.72575
,,0.02575,0.05975,0.13475,0.19575,0.26475,0.31675,0.34775,0.38275,0.41375,0.43375,0.46675,0.49675,0.51475,0.53975,0.56375,0.58075,0.60275,0.62575,0.65175,0.67175,0.73775
,EPI300_pCC1_ATF1_ara_iAAl,0.02475,0.06075,0.13575,0.18675,0.23575,0.27675,0.30375,0.32475,0.34875,0.36875,0.38475,0.39775,0.41675,0.43775,0.46075,0.46875,0.48475,0.50175,0.51875,0.53975,0.60875
,,0.02175,0.05675,0.13475,0.18475,0.23575,0.27975,0.31575,0.33975,0.35775,0.37675,0.39575,0.41475,0.43175,0.44275,0.46175,0.47675,0.48775,0.50675,0.51975,0.53275,0.61175
,,0.02575,0.06175,0.13775,0.18875,0.23875,0.28575,0.31475,0.34175,0.36275,0.38475,0.39375,0.41675,0.43075,0.44775,0.46475,0.47875,0.49275,0.50675,0.52375,0.53175,0.60275
