"strain","paired_t","paired_df","paired_p","mean_diff","paired_p_BH"
"EPI300",6.3964194917154,14,1.66436179530153e-05,0.336583333333333,2.21914906040204e-05
"EPI300_pCC1",6.78785488843502,14,8.76701664669938e-06,0.3352055556,2.21914906040204e-05
"EPI300_pCC1_ara",6.44445711842955,14,1.53671111932986e-05,0.336761111133333,2.21914906040204e-05
"EPI300_pCC1_ATF1_ara",6.78335077330746,14,8.83087505327107e-06,0.360761111133333,2.21914906040204e-05
"EPI300_pCC1_ATF1_ara_iAAl",6.80886994851897,14,8.47542618841071e-06,0.315605555466667,2.21914906040204e-05
"EPI300_pCC1_ATF1_iAAl",6.48471969541656,14,1.43764610894509e-05,0.2878722222,2.21914906040204e-05
"EPI300_pCC1_ATF1",6.18146655218248,14,2.38788718237385e-05,0.339627777666667,2.72901392271297e-05
"EPI300_ara",6.02798194918762,14,3.10206474964356e-05,0.306183333333333,3.10206474964356e-05
