"strain","hour","avg_t","sd_t","avg_w","sd_w","t_stat","df","p_raw","p_adj_strain","p_adj_overall","significant_raw","significant_adj"
"EPI300",0,0.0706666666666667,0.0055075705472861,0.03075,0.007,7.76223958953717,3.79016393442623,0.00184538722691451,0.00307564537819085,0.00330517115268271,TRUE,TRUE
"EPI300",1,0.110666666666667,0.019035055380359,0.0724166666666667,0.0023094010767585,3.4551343402474,2.05886489116409,0.0715094618985691,0.0766172806056097,0.0739753054123128,FALSE,FALSE
"EPI300",2,0.210333333333333,0.0482113402980391,0.16775,0.00360555127546399,1.52559745340833,2.0223713064983,0.265301031444819,0.265301031444819,0.265301031444819,FALSE,FALSE
"EPI300",3,0.377666666666667,0.0449703606093317,0.241416666666667,0.00513160143944689,5.21388547759837,2.05207622057801,0.0330216345984018,0.038101886075079,0.035380322784002,TRUE,TRUE
"EPI300",4,0.489333333333333,0.0308598984660244,0.30775,0.00264575131106459,10.1543433488543,2.02939988165956,0.00910000206456861,0.0113750025807108,0.0113750025807108,TRUE,TRUE
"EPI300",5,0.631333333333333,0.0415250928154693,0.358083333333333,0.00230940107675851,11.3799299829753,2.01237181282566,0.00746644721143215,0.0101815189246802,0.009634125434106,TRUE,TRUE
"EPI300",6,0.724666666666667,0.0345012077083301,0.398416666666667,0.00642910050732864,16.1014339076874,2.13872939217071,0.00286175026388395,0.00429262539582592,0.00436003588621796,TRUE,TRUE
"EPI300",7,0.809666666666667,0.0295691280448601,0.426416666666667,0.00602771377334171,21.996980546986,2.165935336716,0.001380041999524,0.00275753014445718,0.00258757874910751,TRUE,TRUE
"EPI300",8,0.883666666666667,0.0321455025366432,0.452083333333333,0.00513160143944689,22.9636360818858,2.10186932711025,0.0014706827437105,0.00275753014445718,0.00268280675297756,TRUE,TRUE
"EPI300",9,0.943666666666667,0.0238607068908977,0.477416666666667,0.00602771377334171,32.8142615888482,2.25423391467476,0.000455124638416201,0.00170671739406075,0.0012136657024432,TRUE,TRUE
"EPI300",10,1.00666666666667,0.0318956632370819,0.501083333333333,0.00611010092660779,26.9647107638906,2.14659157770867,0.000934734505065377,0.00233683626266344,0.00200300251085438,TRUE,TRUE
"EPI300",11,1.06233333333333,0.0296704117486316,0.52575,0.00608276253029816,30.6855716991137,2.16782168312866,0.000668816456088583,0.00200644936826575,0.00162013949161263,TRUE,TRUE
